,Unnamed: 0,Unnamed: 0.1,Auswärtsteam,Datum,Heimteam,Rang Auswärtsteam,Rang Heimteam,Runde,Saison,Spielzeit,Tag,Zeit,tore_aus,tore_heim,zuschauer,punkteaus,punkteheim,Grasshoppers,Wil,Thun,Aarau,Servette,Lausanne,Basel,Sion,Luzern,Zürich,Bellinzona,YB,Vaduz,Xamax,Lugano,St.Gallen,Schaffhausen,Yverdon
0,0,0,Xamax,16.07.2003,Grasshoppers,9,7,1,2003/2004,2003-07-16 19:30:00,Wed,19:30,1,0,7600,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1082,1164,1164,Aarau,16.07.2003,Thun,8,6,1,2003/2004,2003-07-16 19:30:00,Wed,19:30,1,1,3450,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1874,2308,2308,Zürich,16.07.2003,Basel,4,1,1,2003/2004,2003-07-16 19:30:00,Wed,19:30,1,2,30561,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2560,4058,4058,Wil,16.07.2003,Servette,0,3,1,2003/2004,2003-07-16 19:30:00,Wed,19:30,1,3,4916,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
680,698,698,YB,16.07.2003,St.Gallen,2,5,1,2003/2004,2003-07-16 19:30:00,Wed,19:30,4,1,10300,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,1,1,St.Gallen,19.07.2003,Xamax,0,4,2,2003/2004,2003-07-19 19:30:00,Sat,19:30,0,2,5600,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1436,1629,1629,Grasshoppers,19.07.2003,Aarau,8,5,2,2003/2004,2003-07-19 19:30:00,Sat,19:30,1,2,7100,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2152,2845,2845,Servette,19.07.2003,Zürich,2,7,2,2003/2004,2003-07-19 19:30:00,Sat,19:30,1,0,6800,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1875,2309,2309,Basel,22.07.2003,YB,3,1,2,2003/2004,2003-07-22 19:30:00,Tue,19:30,3,2,11850,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1083,1165,1165,Thun,22.07.2003,Wil,6,9,2,2003/2004,2003-07-22 19:30:00,Tue,19:30,1,1,2000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,1166,1166,Thun,26.07.2003,Servette,6,1,3,2003/2004,2003-07-26 19:30:00,Sat,19:30,1,5,5072,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,Xamax,26.07.2003,Basel,2,3,3,2003/2004,2003-07-26 19:30:00,Sat,19:30,2,4,29055,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2153,2846,2846,Zürich,26.07.2003,YB,8,5,3,2003/2004,2003-07-26 19:30:00,Sat,19:30,1,2,8000,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
681,700,700,Aarau,26.07.2003,St.Gallen,4,1,3,2003/2004,2003-07-26 19:30:00,Sat,19:30,0,0,8500,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1437,1630,1630,Wil,29.07.2003,Grasshoppers,7,9,3,2003/2004,2003-07-29 19:30:00,Tue,19:30,3,5,7300,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,YB,02.08.2003,Xamax,3,4,4,2003/2004,2003-08-02 19:30:00,Sat,19:30,2,1,10600,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1085,1167,1167,Grasshoppers,02.08.2003,Thun,6,7,4,2003/2004,2003-08-02 19:30:00,Sat,19:30,2,3,4871,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2561,4061,4061,Servette,02.08.2003,Aarau,1,5,4,2003/2004,2003-08-02 19:30:00,Sat,19:30,1,1,6500,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,2311,2311,Basel,02.08.2003,Wil,2,8,4,2003/2004,2003-08-02 19:30:00,Sat,19:30,3,2,5600,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
682,701,701,St.Gallen,02.08.2003,Zürich,9,0,4,2003/2004,2003-08-02 19:30:00,Sat,19:30,2,2,7400,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,4,4,Zürich,08.08.2003,Xamax,9,5,5,2003/2004,2003-08-08 19:30:00,Fri,19:30,1,2,8200,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1438,1632,1632,Servette,08.08.2003,Grasshoppers,2,7,5,2003/2004,2003-08-08 19:30:00,Fri,19:30,1,1,8000,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,2312,2312,Aarau,09.08.2003,Basel,4,1,5,2003/2004,2003-08-09 19:30:00,Sat,19:30,1,3,30341,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
683,702,702,Thun,09.08.2003,St.Gallen,6,8,5,2003/2004,2003-08-09 19:30:00,Sat,19:30,1,1,8000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2358,3348,3348,Wil,09.08.2003,YB,0,3,5,2003/2004,2003-08-09 19:30:00,Sat,19:30,1,2,8000,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1086,1169,1169,Basel,16.08.2003,Thun,1,6,6,2003/2004,2003-08-16 19:30:00,Sat,19:30,4,0,8150,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5,5,5,Xamax,16.08.2003,Wil,4,0,6,2003/2004,2003-08-16 19:30:00,Sat,19:30,1,1,2500,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
684,703,703,St.Gallen,16.08.2003,Servette,8,3,6,2003/2004,2003-08-16 19:30:00,Sat,19:30,3,1,7354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2359,3349,3349,YB,17.08.2003,Aarau,2,5,6,2003/2004,2003-08-17 16:15:00,Sun,16:15,1,3,7200,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1439,1633,1633,Zürich,17.08.2003,Grasshoppers,9,7,6,2003/2004,2003-08-17 16:15:00,Sun,16:15,0,1,13600,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,1170,1170,Thun,22.08.2003,YB,8,2,7,2003/2004,2003-08-22 19:30:00,Fri,19:30,1,2,8800,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
685,704,704,Grasshoppers,22.08.2003,St.Gallen,6,7,7,2003/2004,2003-08-22 19:30:00,Fri,19:30,2,1,11300,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,Aarau,23.08.2003,Xamax,5,4,7,2003/2004,2003-08-23 19:30:00,Sat,19:30,1,0,5800,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2154,2850,2850,Wil,23.08.2003,Zürich,9,1,7,2003/2004,2003-08-23 19:30:00,Sat,19:30,1,3,4300,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1878,2314,2314,Servette,24.08.2003,Basel,3,1,7,2003/2004,2003-08-24 16:15:00,Sun,16:15,0,6,29821,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2155,2851,2851,Zürich,30.08.2003,Aarau,9,3,8,2003/2004,2003-08-30 19:30:00,Sat,19:30,3,3,5100,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
686,705,705,Wil,30.08.2003,St.Gallen,0,7,8,2003/2004,2003-08-30 19:30:00,Sat,19:30,1,4,10000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2360,3351,3351,YB,31.08.2003,Servette,2,4,8,2003/2004,2003-08-31 16:15:00,Sun,16:15,1,4,8250,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,Xamax,31.08.2003,Thun,6,8,8,2003/2004,2003-08-31 16:15:00,Sun,16:15,0,0,3000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1440,1635,1635,Basel,31.08.2003,Grasshoppers,1,5,8,2003/2004,2003-08-31 16:15:00,Sun,16:15,4,0,17666,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1441,1636,1636,Grasshoppers,03.09.2003,YB,6,2,9,2003/2004,2003-09-03 19:30:00,Wed,19:30,0,4,8500,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2640,4728,4728,Aarau,03.09.2003,Wil,4,0,9,2003/2004,2003-09-03 19:30:00,Wed,19:30,0,1,2400,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687,706,706,St.Gallen,03.09.2003,Basel,7,1,9,2003/2004,2003-09-03 19:30:00,Wed,19:30,1,4,29846,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1088,1172,1172,Thun,03.09.2003,Zürich,8,9,9,2003/2004,2003-09-03 19:30:00,Wed,19:30,0,4,3800,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
8,8,8,Servette,03.09.2003,Xamax,3,5,9,2003/2004,2003-09-03 19:30:00,Wed,19:30,3,2,8000,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,2317,2317,Basel,14.09.2003,Zürich,1,8,10,2003/2004,2003-09-14 16:15:00,Sun,16:15,1,0,18200,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
9,9,9,Grasshoppers,14.09.2003,Xamax,6,5,10,2003/2004,2003-09-14 16:15:00,Sun,16:15,1,3,7800,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1089,1173,1173,Thun,14.09.2003,Aarau,9,4,10,2003/2004,2003-09-14 16:15:00,Sun,16:15,2,1,5000,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2562,4067,4067,Servette,14.09.2003,Wil,3,0,10,2003/2004,2003-09-14 16:15:00,Sun,16:15,2,2,2600,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688,707,707,St.Gallen,14.09.2003,YB,7,2,10,2003/2004,2003-09-14 16:15:00,Sun,16:15,0,0,6800,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2156,2854,2854,Zürich,28.09.2003,Servette,9,3,11,2003/2004,2003-09-28 16:15:00,Sun,16:15,1,3,7590,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,1174,1174,Wil,28.09.2003,Thun,0,8,11,2003/2004,2003-09-28 16:15:00,Sun,16:15,2,3,1750,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,Xamax,28.09.2003,St.Gallen,4,6,11,2003/2004,2003-09-28 16:15:00,Sun,16:15,1,3,8000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1880,2318,2318,YB,28.09.2003,Basel,2,1,11,2003/2004,2003-09-28 16:15:00,Sun,16:15,0,2,30760,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1442,1638,1638,Aarau,28.09.2003,Grasshoppers,5,7,11,2003/2004,2003-09-28 16:15:00,Sun,16:15,3,2,5800,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,709,709,St.Gallen,02.10.2003,Aarau,6,4,12,2003/2004,2003-10-02 19:30:00,Thu,19:30,1,3,4500,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,Basel,02.10.2003,Xamax,1,5,12,2003/2004,2003-10-02 19:30:00,Thu,19:30,3,1,12100,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1443,1639,1639,Grasshoppers,02.10.2003,Wil,8,0,12,2003/2004,2003-10-02 19:30:00,Thu,19:30,1,2,3400,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,1175,1175,Servette,02.10.2003,Thun,2,7,12,2003/2004,2003-10-02 19:30:00,Thu,19:30,1,1,3130,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2563,4070,4070,Aarau,05.10.2003,Servette,4,2,13,2003/2004,2003-10-05 16:15:00,Sun,16:15,1,3,7750,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,1176,1176,Thun,05.10.2003,Grasshoppers,6,8,13,2003/2004,2003-10-05 16:15:00,Sun,16:15,1,2,4700,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,710,710,Zürich,05.10.2003,St.Gallen,0,7,13,2003/2004,2003-10-05 16:15:00,Sun,16:15,1,2,7800,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
12,12,12,Xamax,05.10.2003,YB,5,3,13,2003/2004,2003-10-05 16:15:00,Sun,16:15,1,2,6000,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1881,2320,2320,Wil,05.10.2003,Basel,9,1,13,2003/2004,2003-10-05 16:15:00,Sun,16:15,0,4,29850,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2157,2855,2855,YB,15.10.2003,Zürich,3,9,12,2003/2004,2003-10-15 19:30:00,Wed,19:30,2,0,5900,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2361,3357,3357,YB,26.10.2003,Wil,3,9,14,2003/2004,2003-10-26 16:15:00,Sun,16:15,1,0,3200,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
691,711,711,St.Gallen,26.10.2003,Thun,5,7,14,2003/2004,2003-10-26 16:15:00,Sun,16:15,1,1,3480,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,13,13,Xamax,26.10.2003,Zürich,6,0,14,2003/2004,2003-10-26 16:15:00,Sun,16:15,1,3,5400,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1444,1641,1641,Grasshoppers,26.10.2003,Servette,8,2,14,2003/2004,2003-10-26 16:15:00,Sun,16:15,2,3,10575,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,2321,2321,Basel,26.10.2003,Aarau,1,4,14,2003/2004,2003-10-26 16:15:00,Sun,16:15,2,2,9250,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
692,712,712,Servette,29.10.2003,St.Gallen,2,5,15,2003/2004,2003-10-29 19:30:00,Wed,19:30,0,1,7500,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2362,3358,3358,Aarau,29.10.2003,YB,4,3,15,2003/2004,2003-10-29 19:30:00,Wed,19:30,3,5,5250,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1445,1642,1642,Grasshoppers,29.10.2003,Zürich,8,9,15,2003/2004,2003-10-29 19:30:00,Wed,19:30,2,0,10400,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,1178,1178,Thun,29.10.2003,Basel,6,1,15,2003/2004,2003-10-29 19:30:00,Wed,19:30,0,2,29029,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
14,14,14,Wil,29.10.2003,Xamax,0,7,15,2003/2004,2003-10-29 19:30:00,Wed,19:30,0,0,3000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1883,2323,2323,Basel,02.11.2003,Servette,1,3,16,2003/2004,2003-11-02 14:30:00,Sun,14:30,2,1,18825,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
693,713,713,St.Gallen,02.11.2003,Grasshoppers,5,6,16,2003/2004,2003-11-02 16:15:00,Sun,16:15,2,5,9200,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,Xamax,02.11.2003,Aarau,7,4,16,2003/2004,2003-11-02 16:15:00,Sun,16:15,1,1,4000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2158,2859,2859,Zürich,02.11.2003,Wil,9,0,16,2003/2004,2003-11-02 16:15:00,Sun,16:15,1,2,3400,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,1179,1179,YB,02.11.2003,Thun,2,8,16,2003/2004,2003-11-02 16:15:00,Sun,16:15,3,1,8300,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
694,714,714,St.Gallen,23.11.2003,Wil,5,9,17,2003/2004,2003-11-23 14:30:00,Sun,14:30,0,2,7522,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,Thun,23.11.2003,Xamax,8,7,17,2003/2004,2003-11-23 16:15:00,Sun,16:15,1,0,6400,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2159,2860,2860,Aarau,23.11.2003,Zürich,4,1,17,2003/2004,2003-11-23 16:15:00,Sun,16:15,2,4,4700,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2363,3360,3360,Servette,23.11.2003,YB,3,2,17,2003/2004,2003-11-23 16:15:00,Sun,16:15,0,3,11000,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1446,1644,1644,Grasshoppers,23.11.2003,Basel,6,1,17,2003/2004,2003-11-23 16:15:00,Sun,16:15,2,5,30800,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2641,4737,4737,Wil,30.11.2003,Aarau,9,4,18,2003/2004,2003-11-30 16:15:00,Sun,16:15,1,1,3500,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,715,715,Basel,30.11.2003,St.Gallen,1,5,18,2003/2004,2003-11-30 16:15:00,Sun,16:15,2,1,11300,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1095,1181,1181,Zürich,30.11.2003,Thun,0,7,18,2003/2004,2003-11-30 16:15:00,Sun,16:15,0,2,3550,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,17,Xamax,30.11.2003,Servette,8,3,18,2003/2004,2003-11-30 16:15:00,Sun,16:15,0,1,8263,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1447,1645,1645,YB,30.11.2003,Grasshoppers,2,6,18,2003/2004,2003-11-30 16:15:00,Sun,16:15,3,3,11900,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2160,2862,2862,Zürich,15.02.2004,Aarau,1,4,19,2003/2004,2004-02-15 14:30:00,Sun,14:30,4,2,5400,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
696,716,716,St.Gallen,15.02.2004,Servette,6,3,19,2003/2004,2004-02-15 14:30:00,Sun,14:30,1,3,6900,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,1182,1182,Thun,15.02.2004,Wil,5,8,19,2003/2004,2004-02-15 14:30:00,Sun,14:30,2,0,2325,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,Xamax,15.02.2004,Grasshoppers,9,7,19,2003/2004,2004-02-15 14:30:00,Sun,14:30,0,1,4800,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1884,2326,2326,Basel,15.02.2004,YB,1,2,19,2003/2004,2004-02-15 16:00:00,Sun,16:00,1,0,11850,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
697,717,717,YB,22.02.2004,St.Gallen,2,7,20,2003/2004,2004-02-22 14:30:00,Sun,14:30,3,1,7800,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1097,1183,1183,Aarau,22.02.2004,Thun,6,4,20,2003/2004,2004-02-22 14:30:00,Sun,14:30,3,6,3500,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,19,Wil,22.02.2004,Xamax,9,1,20,2003/2004,2004-02-22 14:30:00,Sun,14:30,2,0,3700,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2161,2863,2863,Servette,22.02.2004,Zürich,3,8,20,2003/2004,2004-02-22 14:30:00,Sun,14:30,0,2,6300,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1448,1647,1647,Grasshoppers,22.02.2004,Basel,5,1,20,2003/2004,2004-02-22 16:00:00,Sun,16:00,2,2,26851,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,20,20,Xamax,28.02.2004,Basel,1,1,21,2003/2004,2004-02-28 19:30:00,Sat,19:30,0,6,21803,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1098,1184,1184,Thun,28.02.2004,Servette,4,3,21,2003/2004,2004-02-28 19:30:00,Sat,19:30,1,3,6345,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2642,4740,4740,Aarau,29.02.2004,Wil,6,9,21,2003/2004,2004-02-29 14:30:00,Sun,14:30,1,1,2266,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2162,2864,2864,Zürich,29.02.2004,YB,7,2,21,2003/2004,2004-02-29 14:30:00,Sun,14:30,2,2,6900,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
698,718,718,St.Gallen,29.02.2004,Grasshoppers,8,5,21,2003/2004,2004-02-29 16:15:00,Sun,16:15,2,3,6200,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2163,2865,2865,Wil,07.03.2004,Zürich,8,7,22,2003/2004,2004-03-07 14:30:00,Sun,14:30,1,2,5100,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1099,1185,1185,Grasshoppers,07.03.2004,Thun,4,5,22,2003/2004,2004-03-07 14:30:00,Sun,14:30,2,1,4200,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,21,YB,07.03.2004,Xamax,2,1,22,2003/2004,2004-03-07 14:30:00,Sun,14:30,3,0,5800,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2564,4079,4079,Servette,07.03.2004,Aarau,3,6,22,2003/2004,2004-03-07 14:30:00,Sun,14:30,1,0,4000,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
699,719,719,Basel,07.03.2004,St.Gallen,1,9,22,2003/2004,2004-03-07 16:15:00,Sun,16:15,1,1,9000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2565,4080,4080,Wil,12.03.2004,Servette,9,3,23,2003/2004,2004-03-12 20:00:00,Fri,20:00,1,1,5860,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,1186,1186,Thun,13.03.2004,Basel,5,1,23,2003/2004,2004-03-13 19:30:00,Sat,19:30,1,1,23223,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,22,22,Xamax,14.03.2004,St.Gallen,1,8,23,2003/2004,2004-03-14 14:30:00,Sun,14:30,1,3,8000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2364,3366,3366,Aarau,14.03.2004,YB,7,2,23,2003/2004,2004-03-14 14:30:00,Sun,14:30,2,2,6900,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1449,1650,1650,Zürich,14.03.2004,Grasshoppers,6,4,23,2003/2004,2004-03-14 16:15:00,Sun,16:15,2,1,10900,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1450,1651,1651,Grasshoppers,17.03.2004,Aarau,4,7,24,2003/2004,2004-03-17 19:30:00,Wed,19:30,2,2,5000,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2365,3367,3367,YB,17.03.2004,Wil,2,9,24,2003/2004,2004-03-17 19:30:00,Wed,19:30,3,1,2500,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1885,2331,2331,Basel,17.03.2004,Zürich,1,6,24,2003/2004,2004-03-17 19:30:00,Wed,19:30,0,1,16200,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
23,23,23,Xamax,17.03.2004,Servette,1,3,24,2003/2004,2004-03-17 19:30:00,Wed,19:30,2,2,7150,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
700,721,721,St.Gallen,17.03.2004,Thun,8,5,24,2003/2004,2004-03-17 19:30:00,Wed,19:30,3,2,3400,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1886,2332,2332,Aarau,20.03.2004,Basel,8,1,25,2003/2004,2004-03-20 19:30:00,Sat,19:30,1,3,26099,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
24,24,24,Thun,21.03.2004,Xamax,6,1,25,2003/2004,2004-03-21 14:30:00,Sun,14:30,1,1,3900,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1451,1652,1652,Wil,21.03.2004,Grasshoppers,9,4,25,2003/2004,2004-03-21 14:30:00,Sun,14:30,2,1,4200,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2366,3368,3368,Servette,21.03.2004,YB,3,2,25,2003/2004,2004-03-21 14:30:00,Sun,14:30,2,4,7500,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
701,722,722,Zürich,21.03.2004,St.Gallen,5,7,25,2003/2004,2004-03-21 16:15:00,Sun,16:15,3,1,8300,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1452,1653,1653,Grasshoppers,28.03.2004,Servette,5,3,26,2003/2004,2004-03-28 14:30:00,Sun,14:30,0,3,8550,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,25,Xamax,28.03.2004,Zürich,1,4,26,2003/2004,2004-03-28 14:30:00,Sun,14:30,0,1,5800,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1887,2333,2333,Basel,28.03.2004,Wil,1,9,26,2003/2004,2004-03-28 14:30:00,Sun,14:30,1,1,5400,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
702,723,723,St.Gallen,28.03.2004,Aarau,7,8,26,2003/2004,2004-03-28 14:30:00,Sun,14:30,0,3,5200,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,1189,1189,Thun,28.03.2004,YB,6,2,26,2003/2004,2004-03-28 16:15:00,Sun,16:15,0,0,8500,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1102,1190,1190,Zürich,04.04.2004,Thun,4,6,27,2003/2004,2004-04-04 14:30:00,Sun,14:30,1,2,3800,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
